support_id,support_tuple,support_size,support_mask,x_CooperateBot,x_CupodBot,x_DBot,x_DefectBot,x_DupocBot,x_OBot,x_TitForTatBot,x_EBot,c,c_crosscheck,is_interior,is_singular,tangent_eigvals,max_re_eigval,min_re_eigval,has_complex_eigvals,within_face_class,external_invasion_fitnesses,max_external_fitness,externally_stable,overall_class
223,"(CooperateBot, CupodBot, DefectBot, OBot, TitForTatBot, EBot)",6,11010111,0.0,0.1111111111111111,,0.6666666666666666,,0.2222222222222222,0.0,0.0,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
224,"(CooperateBot, CupodBot, DupocBot, OBot, TitForTatBot, EBot)",6,11001111,1.5000000000000016,0.1666666666666666,,,-0.16666666666666663,-0.666666666666668,0.6666666666666676,-0.5000000000000009,3.5000000000000027,3.500000000000003,False,False,[],,,False,,{},-inf,True,non_interior
225,"(CooperateBot, DBot, DefectBot, DupocBot, OBot, TitForTatBot)",6,10111110,0.6666666666666666,,-1.5265566588595902e-16,3.7470027081099033e-16,0.11111111111111105,-3.700743415417188e-17,0.2222222222222222,,1.9999999999999993,1.9999999999999998,False,False,[],,,False,,{},-inf,True,non_interior
226,"(CooperateBot, DBot, DefectBot, DupocBot, OBot, EBot)",6,10111101,0.5,,-0.5,0.9999999999999999,-0.16666666666666666,4.625929269271486e-17,,0.16666666666666669,1.3877787807814454e-16,8.943463253924872e-17,False,False,[],,,False,,{},-inf,True,non_interior
227,"(CooperateBot, DBot, DefectBot, DupocBot, TitForTatBot, EBot)",6,10111011,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
228,"(CooperateBot, DBot, DefectBot, OBot, TitForTatBot, EBot)",6,10110111,0.3333333333333333,,-0.3333333333333333,0.9999999999999999,,-0.11111111111111109,0.1111111111111111,1.2335811384723961e-17,0.0,7.624216758614116e-17,False,False,[],,,False,,{},-inf,True,non_interior
229,"(CooperateBot, DBot, DupocBot, OBot, TitForTatBot, EBot)",6,10101111,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
230,"(CooperateBot, DefectBot, DupocBot, OBot, TitForTatBot, EBot)",6,10011111,0.666666666666667,,,-3.0531133177191805e-16,0.11111111111111117,-1.356939252319636e-16,0.22222222222222235,0.0,2.000000000000001,2.000000000000001,False,False,[],,,False,,{},-inf,True,non_interior
231,"(CupodBot, DBot, DefectBot, DupocBot, OBot, TitForTatBot)",6,01111110,,-0.5,-0.49999999999999994,1.5,0.5,-0.0,0.0,,-1.4999999999999998,-1.5,False,False,[],,,False,,{},-inf,True,non_interior
232,"(CupodBot, DBot, DefectBot, DupocBot, OBot, EBot)",6,01111101,,-0.5,-0.49999999999999994,1.5,0.5,-0.0,,0.0,-1.4999999999999998,-1.5,False,False,[],,,False,,{},-inf,True,non_interior
