t,alpha,zoo,family,fingerprint,n_ne,n_components,max_ne_coop,n_coop_components,full_coop_exists,n_stable_faces,moran_ss,realized_coop
1.0,1.0,body+twins+natives,behavioral,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
0.0,0.0,body+twins+natives,epsilon,d2be5f067353,196,1,1.0,1,True,0,—,1.0000060000000002
0.2,0.0,body+twins+natives,epsilon,d2be5f067353,196,1,1.0,1,True,0,—,1.0000060000000002
0.4,0.0,body+twins+natives,epsilon,d2be5f067353,196,1,1.0,1,True,0,—,1.0000060000000002
0.6,0.0,body+twins+natives,epsilon,d2be5f067353,196,1,1.0,1,True,0,—,1.0000060000000002
0.8,0.0,body+twins+natives,epsilon,d2be5f067353,196,1,1.0,1,True,0,—,1.0000060000000002
1.0,0.0,body+twins+natives,epsilon,d2be5f067353,196,1,1.0,1,True,0,—,1.0000060000000002
0.0,0.3,body+twins+natives,epsilon,1a1aec1164b4,16,1,0.0,0,False,0,Def+Max+OB+Pru,0.0
0.2,0.3,body+twins+natives,epsilon,5133d3155119,160,2,1.0,1,True,0,CIM+Dup+Max,0.920029
0.4,0.3,body+twins+natives,epsilon,e8c4a57c4e5d,241,2,1.0,1,True,3,CIM+Dup+Max,0.943389
0.6,0.3,body+twins+natives,epsilon,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
0.8,0.3,body+twins+natives,epsilon,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
1.0,0.3,body+twins+natives,epsilon,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
0.0,0.45,body+twins+natives,epsilon,30393625b4e5,36,1,0.0,0,False,0,CIM+Def+Dup+Max+OB+Pru,0.0
0.2,0.45,body+twins+natives,epsilon,ac0f8dda988b,36,1,0.0,0,False,3,Max,0.040019
0.4,0.45,body+twins+natives,epsilon,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
0.6,0.45,body+twins+natives,epsilon,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
0.8,0.45,body+twins+natives,epsilon,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
1.0,0.45,body+twins+natives,epsilon,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
0.0,0.62,body+twins+natives,epsilon,30393625b4e5,36,1,0.0,0,False,0,CIM+Def+Dup+Max+OB+Pru,0.0
0.2,0.62,body+twins+natives,epsilon,13bceaab1f68,16,1,0.0,0,False,2,Max,0.040049999999999995
0.4,0.62,body+twins+natives,epsilon,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
0.6,0.62,body+twins+natives,epsilon,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
0.8,0.62,body+twins+natives,epsilon,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
1.0,0.62,body+twins+natives,epsilon,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
