t,alpha,zoo,family,fingerprint,run,n_types,is_fully_proven,n_pure_ess,edges_strict,n_sccs,n_cycles,n_supports,n_stable_faces,n_extreme_ne,n_ne_components,n_attractors,largest_basin,dominant_support,moran_ss,moran_population,moran_beta
0.6,0.3,body+twins,behavioral,5e939f5bdcca,body+twins_t060_a030_5e939f5bdcca,12,True,0,48,5,69,4083,8,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
0.6,0.45,body+twins,behavioral,077ccc54b8a2,body+twins_t080_a030_077ccc54b8a2,12,True,0,47,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
0.6,0.62,body+twins,behavioral,cd41b8a9f0ad,body+twins_t080_a062_cd41b8a9f0ad,12,True,0,41,5,39,4083,6,81,3,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
0.6,0.8,body+twins,behavioral,76371da7d6fb,body+twins_t060_a080_76371da7d6fb,12,True,0,43,6,65,4083,11,25,2,15,0.99005,CIM+Dup+TFT,CIM+Dup+TFT,100,1.0
0.6,1.0,body+twins,behavioral,9e838945e70a,body+twins_t080_a100_9e838945e70a,12,True,0,11,12,0,4083,0,121,1,24,0.905473,CIM+Cup+CupT+DB+DIM+Def+Dup+EB+OB+Pru+TFT,—,100,1.0
0.4,0.0,body+twins,behavioral,f7df4db66078,body+twins_t100_a000_f7df4db66078,12,True,0,0,12,0,4083,0,144,1,26,0.870647,CIM+Coop+Cup+CupT+DB+DIM+Def+Dup+EB+OB+Pru+TFT,—,100,1.0
0.4,0.3,body+twins,behavioral,79aa5b935d57,body+twins_t040_a030_79aa5b935d57,12,True,0,40,7,8,4083,4,80,2,17,0.975124,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
0.4,0.45,body+twins,behavioral,5e939f5bdcca,body+twins_t060_a030_5e939f5bdcca,12,True,0,48,5,69,4083,8,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
0.4,0.62,body+twins,behavioral,6e57c8255e97,body+twins_t040_a062_6e57c8255e97,12,True,0,43,5,39,4083,6,32,2,15,0.99005,CIM+Dup+TFT,CIM+Dup,100,1.0
0.4,0.8,body+twins,behavioral,68f442c576a6,body+twins_t040_a080_68f442c576a6,12,True,0,40,10,2,4083,2,18,2,15,0.99005,CIM+Dup+TFT,CIM+Dup+TFT,100,1.0
0.4,1.0,body+twins,behavioral,9e838945e70a,body+twins_t080_a100_9e838945e70a,12,True,0,11,12,0,4083,0,121,1,24,0.905473,CIM+Cup+CupT+DB+DIM+Def+Dup+EB+OB+Pru+TFT,—,100,1.0
0.2,0.0,body+twins,behavioral,f7df4db66078,body+twins_t100_a000_f7df4db66078,12,True,0,0,12,0,4083,0,144,1,26,0.870647,CIM+Coop+Cup+CupT+DB+DIM+Def+Dup+EB+OB+Pru+TFT,—,100,1.0
0.2,0.3,body+twins,behavioral,a8a7b69d7a34,body+twins_t020_a030_a8a7b69d7a34,12,True,0,29,12,0,4083,0,80,2,19,0.825871,CIM+Coop+CupT+Dup+TFT,CIM+Dup,100,1.0
0.2,0.45,body+twins,behavioral,fb199f0332c5,body+twins_t020_a045_fb199f0332c5,12,True,0,43,6,18,4083,5,32,2,15,0.99005,CIM+Dup+TFT,CIM+Dup,100,1.0
0.2,0.62,body+twins,behavioral,8001ec15fe4e,body+twins_t020_a062_8001ec15fe4e,12,True,0,52,8,6,4083,2,13,2,13,0.995025,CIM+Dup,CIM+Dup,100,1.0
